,book_id,original_title,user_id,rating
0,1,Harry Potter and the Half-Blood Prince,314,5
1,1,Harry Potter and the Half-Blood Prince,439,3
2,1,Harry Potter and the Half-Blood Prince,588,5
3,1,Harry Potter and the Half-Blood Prince,1169,4
4,1,Harry Potter and the Half-Blood Prince,1185,4
5,1,Harry Potter and the Half-Blood Prince,2077,4
6,1,Harry Potter and the Half-Blood Prince,2487,4
7,1,Harry Potter and the Half-Blood Prince,2900,5
8,1,Harry Potter and the Half-Blood Prince,3662,4
9,1,Harry Potter and the Half-Blood Prince,3922,5
10,1,Harry Potter and the Half-Blood Prince,5379,5
11,1,Harry Potter and the Half-Blood Prince,5461,3
12,1,Harry Potter and the Half-Blood Prince,5885,5
13,1,Harry Potter and the Half-Blood Prince,6630,5
14,1,Harry Potter and the Half-Blood Prince,7563,3
15,1,Harry Potter and the Half-Blood Prince,9246,1
16,1,Harry Potter and the Half-Blood Prince,10140,4
17,1,Harry Potter and the Half-Blood Prince,10146,5
18,1,Harry Potter and the Half-Blood Prince,10246,4
19,1,Harry Potter and the Half-Blood Prince,10335,4
20,1,Harry Potter and the Half-Blood Prince,10610,5
21,1,Harry Potter and the Half-Blood Prince,10944,5
22,1,Harry Potter and the Half-Blood Prince,11854,4
23,1,Harry Potter and the Half-Blood Prince,11927,4
24,1,Harry Potter and the Half-Blood Prince,12471,5
25,1,Harry Potter and the Half-Blood Prince,13282,5
26,1,Harry Potter and the Half-Blood Prince,13544,5
27,1,Harry Potter and the Half-Blood Prince,15494,5
28,1,Harry Potter and the Half-Blood Prince,16377,4
29,1,Harry Potter and the Half-Blood Prince,16913,5
30,1,Harry Potter and the Half-Blood Prince,17434,5
31,1,Harry Potter and the Half-Blood Prince,17663,5
32,1,Harry Potter and the Half-Blood Prince,17984,5
33,1,Harry Potter and the Half-Blood Prince,18031,5
34,1,Harry Potter and the Half-Blood Prince,18313,5
35,1,Harry Potter and the Half-Blood Prince,18361,4
36,1,Harry Potter and the Half-Blood Prince,20076,3
